Task layer training log
Experiment 4 configuration: Experiment 4 checks whether observable 0 has value 1 and whether observable 1 has value 1

Round 499 | Accuracy: 0.4820 | Weighted Accuracy: 0.5239
Round 999 | Accuracy: 0.5580 | Weighted Accuracy: 0.7065
Round 1499 | Accuracy: 0.6640 | Weighted Accuracy: 0.7932
Round 1999 | Accuracy: 0.6640 | Weighted Accuracy: 0.8007
Round 2499 | Accuracy: 0.7660 | Weighted Accuracy: 0.8624
Round 2999 | Accuracy: 0.8040 | Weighted Accuracy: 0.8828
Round 3499 | Accuracy: 0.8560 | Weighted Accuracy: 0.9160
Round 3999 | Accuracy: 0.8780 | Weighted Accuracy: 0.9305
Round 4499 | Accuracy: 0.9140 | Weighted Accuracy: 0.9533
Round 4999 | Accuracy: 0.9640 | Weighted Accuracy: 0.9800
Round 5499 | Accuracy: 0.9520 | Weighted Accuracy: 0.9715
Round 5999 | Accuracy: 0.9760 | Weighted Accuracy: 0.9869
Round 6499 | Accuracy: 0.9740 | Weighted Accuracy: 0.9860
Round 6999 | Accuracy: 0.9820 | Weighted Accuracy: 0.9891
Round 7499 | Accuracy: 0.9780 | Weighted Accuracy: 0.9890
Round 7999 | Accuracy: 0.9920 | Weighted Accuracy: 0.9952
Round 8499 | Accuracy: 0.9880 | Weighted Accuracy: 0.9928
Round 8999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9989
Round 9499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9988
Round 9999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9990
Round 10499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9989
Round 10999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 11499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 11999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 12499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9901
Round 12999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 13499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 13999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 14499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9907
Round 14999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 15499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 15999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 16499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 16999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 17499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9989
Round 17999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 18499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 18999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 19499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9907
Round 19999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 20499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 20999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 21499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9912
Round 21999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 22499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 22999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 23499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9988
Round 23999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 24499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 24999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 25499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 25999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 26499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 26999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9989
Round 27499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 27999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 28499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9989
Round 28999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 29499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9989
Round 29999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 30499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 30999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 31499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 31999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 32499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
