Task layer training log
Experiment 6 configuration: Experiment 6 checks whether observable 0 has value 2 and whether observable 1 has value 0

Round 499 | Accuracy: 0.4340 | Weighted Accuracy: 0.4420
Round 999 | Accuracy: 0.5740 | Weighted Accuracy: 0.6840
Round 1499 | Accuracy: 0.7060 | Weighted Accuracy: 0.8127
Round 1999 | Accuracy: 0.7220 | Weighted Accuracy: 0.8429
Round 2499 | Accuracy: 0.8140 | Weighted Accuracy: 0.8804
Round 2999 | Accuracy: 0.8840 | Weighted Accuracy: 0.9329
Round 3499 | Accuracy: 0.9140 | Weighted Accuracy: 0.9514
Round 3999 | Accuracy: 0.9600 | Weighted Accuracy: 0.9625
Round 4499 | Accuracy: 0.9720 | Weighted Accuracy: 0.9830
Round 4999 | Accuracy: 0.9780 | Weighted Accuracy: 0.9880
Round 5499 | Accuracy: 0.9940 | Weighted Accuracy: 0.9971
Round 5999 | Accuracy: 0.9860 | Weighted Accuracy: 0.9911
Round 6499 | Accuracy: 0.9940 | Weighted Accuracy: 0.9964
Round 6999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9988
Round 7499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 7999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9988
Round 8499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 8999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9988
Round 9499 | Accuracy: 0.9960 | Weighted Accuracy: 0.9978
Round 9999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 10499 | Accuracy: 0.9960 | Weighted Accuracy: 0.9898
Round 10999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 11499 | Accuracy: 0.9980 | Weighted Accuracy: 0.9988
Round 11999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 12499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 12999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9917
Round 13499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 13999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9988
Round 14499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 14999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 15499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 15999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 16499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 16999 | Accuracy: 0.9980 | Weighted Accuracy: 0.9906
Round 17499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 17999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 18499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 18999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 19499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 19999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 20499 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
Round 20999 | Accuracy: 1.0000 | Weighted Accuracy: 1.0000
